AFRAATES,"[13, 14]"
AFRIANO,[13]
AFRICA,"[1, 2, 5, 6, 10, 11, 13, 14]"
AFRICANO,"[13, 14]"
AFRIDES,"[13, 14]"
AFRODISIO,"[1, 10, 11, 13, 14]"
AFRODITA,"[1, 13, 14]"
AFTON,"[13, 14]"
AFTONIO,"[13, 14]"
AGABE,"[13, 14]"
AGABIO,"[13, 14]"
AGABO,"[13, 14]"
AGAPE,"[13, 14]"
AGAPIO,"[13, 14]"
AGAPITA,"[1, 13, 14]"
AGAPITO,"[1, 6, 10, 11, 13, 14]"
AGAR,"[1, 11, 13, 14]"
AGATA,"[1, 2, 4, 5, 6, 11, 13, 14]"
AGATANGELO,"[13, 14]"
AGATE,"[1, 13, 14]"
AGATHA,"[1, 2, 13, 14]"
AGATODORO,"[13, 14]"
AGATON,"[11, 13, 14]"
AGATONICO,"[13, 14]"
AGATOPODES,"[13, 14]"
AGEO,"[13, 14]"
AGERICO,"[13, 6, 14]"
AGILBERTO,"[13, 14]"
AGILEO,"[13, 14]"
AGLAE,"[1, 5, 6, 10, 13, 14]"
AGNANO,"[13, 14]"
AGNE,"[1, 13]"
AGÑEL,"[13, 14]"
AGNELO,"[13, 14]"
AGNES,"[1, 2, 4, 5, 7, 13, 14]"
AGNEW,"[13, 14]"
AGOARDO,"[13, 14]"
AGOP,"[13, 14]"
AGOSTINA,"[1, 13, 14]"
AGOSTINO,"[1, 13, 14]"
AGRICIO,"[13, 14]"
AGRICOLA,"[5, 13, 6, 14]"
AGRIPA,"[13, 14]"
AGRIPINA,"[1, 10, 11, 13, 14]"
AGRIPINO,"[1, 11, 13, 14]"
AGUEDA,"[1, 2, 4, 5, 6, 10, 11, 13, 14]"
AGURI,"[13, 14]"
AGUST,[13]
AGUSTI,"[1, 2, 4, 5, 7, 13, 14]"
AGUSTIN,"[1, 2, 6, 8, 10, 13, 14]"
AGUSTINA,"[1, 2, 4, 5, 6, 13, 14]"
AGUSTINO,"[13, 14]"
AHARON,"[1, 13, 14]"
AHEARN,"[13, 14]"
AHIAN,"[13, 14]"
AHMAD,"[1, 2, 13, 14]"
AHMED,"[1, 2, 6, 13, 14]"
AHMIK,"[13, 14]"
AHUARCUDEN,[13]
AHUARELHUE,[13]
AHUASAHUAS,[13]
AHUE,[13]
AHUECHEI,[13]
AHUELN,[13]
AHUEN,[13]
AHUEQUECHI,[13]
AHUEUCULEN,[13]
AHUEUN,[13]
AHUIÑ,[13]
AHUIRCUN,[13]
AHUUCAN,[13]
AHUUCANENTUN,[13]
AHUUCAQUECHI,[13]
AHUULN,[13]
AHUUN,[13]
AHUUNMAN,[13]
AHUURHUUR,[13]
AHUUULN,[13]
AHUUUN,[13]
AHUUUNDUNGU,[13]
AIAD,"[13, 14]"
AIAN,"[1, 13]"
AICARDO,"[13, 14]"
AICEN,[13]
AICON,[13]
AIDA,"[1, 2, 4, 5, 6, 10, 11, 13, 14]"
AIDAN,"[1, 2, 13, 14]"
AIDANO,"[13, 14]"
AIEN,"[13, 14]"
AIESA,[13]
AIFHA,[13]
AIFIN,[13]
AIGULFO,"[13, 14]"
AIHARA,[13]
AIHUIÑ,[13]
AIHUIÑ'N,[13]
AIHUIÑTUUN,[13]
AIHUÑLUUN,[13]
AIHUÑTUN,[13]
AIKE,"[13, 14]"
AILEM,[13]
AILEN,"[1, 10, 13, 14]"
AILENCUCHRAL,[13]
AILI,"[1, 13]"
AILIN,"[1, 13, 14]"
AILIÑCO,[13]
AILLA,"[13, 14]"
AILLAHUARANCA,[13]
AILLALELU,[13]
AILLAMARI,[13]
AILLAPATACA,[13]
AILLAREHUE,[13]
AILQUETUI,[13]
AILSA,"[13, 14]"
AILY,[13]
AILYN,"[1, 13]"
AIMAR,"[1, 2, 5, 12, 13, 14]"
AIMARA,"[1, 13, 14]"
AIMARDO,"[13, 14]"
AIME,"[1, 13, 14]"
AIMEE,"[1, 13, 14]"
AIMERY,"[13, 14]"
AIN,"[13, 14]"
AINALEN,"[13, 14]"
AINANA,"[13, 14]"
AINARA,"[1, 2, 5, 6, 12, 13, 14]"
AINE,"[1, 11, 13, 14]"
AINELEN,"[13, 14]"
AINES,"[1, 13]"
AINHOA,"[1, 2, 4, 5, 6, 10, 12, 13, 14]"
AINOA,"[1, 2, 5, 6, 13]"
AINSLIE,"[13, 14]"
AIOSHA,"[13, 14]"
AIRA,"[1, 2, 13, 14]"
AIRE,[13]
AISHA,"[1, 2, 5, 6, 13, 14]"
AISSA,"[1, 2, 13]"
AITALAS,"[13, 14]"
AITANA,"[1, 2, 5, 6, 10, 13, 14]"
AITOR,"[1, 2, 5, 6, 10, 11, 12, 13, 14]"
AITUE,[13]
AIWIÑ,[13]
AIXA,"[1, 2, 5, 6, 13, 14]"
AJANI,"[13, 14]"
AJAY,"[1, 13, 14]"
AKAGI,"[13, 14]"
AKANE,"[1, 13, 14]"
AKARI,"[1, 13, 14]"
AKBAR,"[1, 13, 14]"
AKEMI,"[1, 13, 14]"
AKI,"[1, 13, 14]"
AKIF,[13]
AKIKO,"[1, 13, 14]"
AKILAH,"[13, 14]"
AKILINA,"[13, 14]"
AKIO,"[13, 14]"
AKIRA,"[1, 13, 14]"
AKIVA,"[13, 14]"
AKSEL,"[1, 13, 14]"
AL,"[1, 13, 14]"
ALACIEL,"[13, 14]"
ALADDIN,"[13, 14]"
ALADINO,"[1, 10, 11, 13, 14]"
ALAHI,"[13, 14]"
ALAIA,"[1, 2, 13]"
ALAIAN,[13]
ALAIDE,"[1, 13, 14]"
ALAIN,"[1, 2, 12, 13, 14]"
ALAIR,"[13, 14]"
ALAM,"[1, 13]"
ALAN,"[1, 2, 5, 11, 13, 14]"
ALANA,"[1, 2, 11, 13, 14]"
ALANIS,"[1, 13, 14]"
ALANNAH,"[1, 13]"
ALANO,"[1, 13, 6, 14]"
ALAOR,"[13, 14]"
ALARIC,"[1, 5, 13, 14]"
ALARICO,"[6, 10, 11, 13, 14]"
ALASTAIR,"[13, 14]"
ALAY,[13]
ALBA,"[1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14]"
ALBAN,"[1, 11, 13, 14]"
ALBANA,"[1, 13, 14]"
ALBANO,"[1, 10, 11, 13, 14]"
ALBAR,"[1, 13, 14]"
ALBARINO,[13]
ALBEN,"[13, 14]"
ALBERICA,"[13, 14]"
ALBERICO,"[1, 13, 14]"
ALBERT,"[1, 2, 4, 5, 7, 13, 14]"
ALBERTA,"[1, 4, 5, 6, 11, 13, 14]"
ALBERTINA,"[1, 5, 6, 11, 13, 14]"
ALBERTO,"[1, 2, 6, 8, 10, 13, 14]"
ALBIDA,"[13, 14]"
ALBIN,"[1, 13, 14]"
ALBINA,"[1, 11, 13, 14]"
ALBINO,"[1, 10, 11, 13, 14]"
ALBLINA,"[13, 14]"
ALBUINO,"[13, 14]"
ALCANDER,"[13, 14]"
ALCARA,"[13, 14]"
ALCEO,"[11, 13, 14]"
ALCIA,"[13, 14]"
ALCIBIADES,"[1, 10, 11, 13, 14]"
ALCIDES,"[1, 10, 13, 14]"
ALCIRA,"[1, 11, 13, 14]"
ALCOTT,"[13, 14]"
ALCUMMAYU,[13]
ALDA,"[1, 11, 13, 14]"
ALDABEL,"[13, 14]"
ALDABELLA,"[13, 14]"
ALDAIR,"[1, 13, 14]"
ALDAN,"[1, 11, 13, 14]"
ALDANA,"[1, 11, 13, 14]"
ALDELMO,"[13, 14]"
ALDEMAR,"[1, 13, 14]"
ALDER,"[13, 14]"
ALDERICO,"[13, 14]"
ALDEVAR,"[13, 14]"
ALDO,"[1, 2, 10, 11, 13, 14]"
ALDRYN,[13]
ALDWYN,[13]
ALE,"[1, 13, 14]"
ALEARDO,"[13, 14]"
ALEC,"[1, 10, 13, 14]"
ALECIA,"[13, 14]"
ALECIO,"[13, 14]"
ALED,[13]
ALEGRA,"[1, 13, 14]"
ALEGRIA,"[1, 2, 5, 6, 11, 13, 14]"
ALEIDA,"[1, 13, 14]"
ALEIX,"[1, 2, 4, 5, 7, 13, 14]"
ALEJANDRA,"[1, 2, 6, 8, 10, 13, 14]"
ALEJANDRINA,"[1, 13, 14]"
ALEJANDRO,"[1, 2, 6, 8, 10, 13, 14]"
ALEJO,"[1, 2, 6, 8, 10, 13, 14]"
ALEK,"[1, 13, 14]"
ALEKSAN,"[13, 14]"
ALEKSEY,"[1, 13, 14]"
ALEKSY,"[13, 14]"
ALELI,"[13, 14]"
ALEM,"[1, 13, 14]"
ALEN,"[1, 13, 14]"
ALENA,"[1, 5, 6, 10, 13, 14]"
ALENKA,"[1, 13, 14]"
ALERAY,"[13, 14]"
ALERON,"[13, 14]"
ALESANDRA,"[1, 13, 14]"
ALESANDRO,"[1, 13, 14]"
ALESER,"[13, 14]"
ALESIA,"[1, 13, 14]"
ALESIO,"[13, 14]"
ALESSANDRA,"[1, 2, 10, 13, 14]"
ALESSANDRO,"[1, 2, 13, 14]"
ALESSIA,"[1, 2, 13, 14]"
ALESSIO,"[1, 13, 14]"
ALETHIA,"[13, 14]"
ALEX,"[1, 2, 4, 5, 6, 7, 8, 13, 14]"
ALEXA,"[1, 2, 13, 14]"
ALEXAN,"[13, 14]"
ALEXANDER,"[1, 2, 13, 14]"
ALEXANDRA,"[1, 2, 4, 5, 7, 11, 13, 14]"
ALEXANDRE,"[1, 2, 4, 5, 7, 11, 13, 14]"
ALEXANDRO,"[1, 13, 14]"
ALEXANDROS,"[1, 13, 14]"
ALEXEI,"[1, 13, 14]"
ALEXEY,"[1, 13, 14]"
ALEXIA,"[1, 2, 5, 6, 11, 13, 14]"
ALEXIANA,"[13, 14]"
ALEXIRIZ,[13]
ALEXIS,"[1, 2, 5, 6, 11, 13, 14]"
ALEXSANDRA,"[1, 13, 14]"
ALEY,"[13, 14]"
ALFA,"[5, 13, 6, 14]"
ALFEO,"[11, 13, 14]"
ALFIA,"[1, 13, 14]"
ALFIERI,"[13, 14]"
ALFIO,"[1, 13, 14]"
ALFONSINA,"[1, 5, 6, 13, 14]"
ALFONSO,"[1, 2, 6, 10, 13, 14]"
ALGAR,"[13, 14]"
ALGER,"[13, 14]"
ALGERICO,"[13, 14]"
ALHAMBRA,[13]
ALHUE,"[13, 14]"
ALHUECHE,"[13, 14]"
ALI,"[1, 2, 5, 6, 13, 14]"
ALIAN,"[1, 13, 14]"
ALIBAR,"[13, 14]"
ALIBEL,[13]
ALIBERTA,"[13, 14]"
ALICE,"[1, 2, 13, 14]"
ALICIA,"[1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14]"
ALIDA,"[1, 10, 13, 14]"
ALIDE,"[13, 14]"
ALIDIA,"[13, 14]"
ALIGUEN,[13]
ALIHUEN,"[13, 14]"
ALIK,"[1, 13, 14]"
ALILIA,"[13, 14]"
ALIM,"[1, 13, 14]"
ALIN,"[1, 13, 14]"
ALINA,"[1, 2, 4, 5, 6, 13, 14]"
ALINE,"[1, 13, 14]"
ALIPO,[13]
ALIRA,"[1, 13, 14]"
ALISA,"[1, 2, 13, 14]"
ALISON,"[1, 2, 13, 14]"
ALISSON,"[1, 13]"
ALISTAIR,"[1, 13, 14]"
ALIT,"[13, 14]"
ALIX,"[1, 13, 14]"
ALIXSE,[13]
ALKUN,"[13, 14]"
ALLAN,"[1, 13, 14]"
ALLARD,"[13, 14]"
ALLEN,"[1, 13, 14]"
ALLISON,"[1, 13, 14]"
ALMA,"[1, 2, 5, 6, 11, 13, 14]"
ALMANDOS,"[13, 14]"
ALMANZOR,"[13, 14]"
ALMAQUIO,"[13, 14]"
ALMENDRA,"[1, 13, 14]"
ALMIRO,"[1, 13, 14]"
ALMUDENA,"[1, 2, 10, 11, 13, 14]"
ALOISIO,"[13, 14]"
ALOIZ,"[13, 14]"
ALOJZ,"[13, 14]"
ALON,"[1, 13, 14]"
ALONDRA,"[1, 13, 14]"
ALONSO,"[1, 2, 6, 13, 14]"
ALPHONSE,"[1, 13, 14]"
ALPINIANO,"[13, 14]"
ALSTON,"[13, 14]"
ALTAGRACIA,"[1, 10, 13, 14]"
ALTAIR,"[1, 5, 6, 13, 14]"
ALTAIRA,"[13, 14]"
ALTAIRE,"[13, 14]"
ALTER,"[13, 14]"
ALTON,"[13, 14]"
ALUE,[13]
ALUEL,"[13, 14]"
ALUEN,"[13, 14]"
ALUHE,"[13, 14]"
ALUHUE,[13]
ALULA,"[13, 14]"
ALUMINE,"[13, 14]"
ALUN,"[13, 14]"
ALUNEY,"[13, 14]"
ALVA,"[1, 13, 14]"
ALVAR,"[1, 2, 4, 5, 7, 13, 14]"
ALVARO,"[1, 2, 6, 8, 10, 11, 13, 14]"
ALVESIO,"[13, 14]"
ALVIDA,"[13, 14]"
ALVIN,"[1, 13, 14]"
ALVIS,"[13, 14]"
AMABELIA,"[13, 14]"
AMABELLA,[13]
AMABELLO,[13]
AMABLE,"[1, 11, 13, 14]"
AMADEO,"[1, 6, 10, 11, 13, 14]"
AMADEUS,"[13, 14]"
AMADIS,"[11, 13, 14]"
AMADO,"[1, 6, 10, 11, 13, 14]"
AMADOR,"[1, 4, 5, 6, 10, 11, 13, 14]"
AMAIA,"[1, 2, 5, 11, 12, 13, 14]"
AMALIA,"[1, 2, 5, 6, 10, 11, 13, 14]"
AMALIN,"[13, 14]"
AMALIO,"[1, 13, 6, 14]"
AMAN,"[1, 13, 14]"
AMANCAI,"[13, 14]"
AMANCAY,"[1, 13, 14]"
AMANCIO,"[1, 10, 11, 13, 14]"
AMANDA,"[1, 2, 4, 5, 6, 10, 13, 14]"
AMANDIO,"[1, 13, 14]"
AMANDO,"[1, 11, 13, 14]"
AMANGAI,"[13, 14]"
AMANI,"[1, 2, 13, 14]"
AMANKAYA,"[13, 14]"
AMAPOLA,"[1, 13, 14]"
AMAR,"[1, 13]"
AMARA,"[1, 2, 13, 14]"
AMARAL,"[1, 13]"
AMARANTA,"[1, 10, 13, 14]"
AMARANTO,"[1, 13, 14]"
AMARILI,"[13, 14]"
AMARILIS,"[1, 13]"
AMARINO,"[13, 14]"
AMARO,"[1, 2, 11, 13, 14]"
AMARU,"[1, 13, 14]"
AMATISTA,"[13, 14]"
AMAURI,"[1, 13, 14]"
AMAURY,"[1, 13, 14]"
AMAYA,"[1, 2, 6, 10, 13, 14]"
AMBAR,"[1, 2, 13, 14]"
AMBAY,"[13, 14]"
AMBER,"[1, 2, 13, 14]"
AMBICO,"[13, 14]"
AMBROSIA,"[1, 11, 13, 14]"
AMBROSIO,"[1, 6, 10, 11, 13, 14]"
AMED,"[1, 13, 14]"
AMEL,"[1, 13, 14]"
AMELIA,"[1, 2, 5, 6, 10, 11, 13, 14]"
AMELIE,"[1, 2, 13, 14]"
AMELINA,"[13, 14]"
AMELIO,"[1, 13, 14]"
AMELY,"[1, 13]"
AMERICA,"[1, 5, 6, 11, 13, 14]"
AMERICO,"[1, 6, 10, 11, 13, 14]"
AMGEHINO,[13]
AMIDEO,"[13, 14]"
AMIEL,"[1, 13, 14]"
AMIELA,"[13, 14]"
AMIL,"[11, 13]"
AMILCAR,"[1, 5, 6, 10, 11, 13, 14]"
AMIN,"[1, 2, 5, 6, 13, 14]"
AMINA,"[1, 2, 4, 5, 6, 13, 14]"
AMINCA,"[13, 14]"
AMINDA,"[13, 14]"
AMINE,"[1, 2, 13, 14]"
AMINTA,"[1, 13, 14]"
AMIR,"[1, 2, 4, 5, 6, 11, 13, 14]"
AMIRA,"[1, 2, 4, 5, 6, 13, 14]"
AMIRI,"[13, 14]"
AMIT,"[1, 10, 13, 14]"
AMITHA,[13]
AMITTAI,"[13, 14]"
AMMIANO,"[13, 14]"
AMMIEL,"[13, 14]"
AMMON,"[13, 14]"
AMMONIO,"[13, 14]"
AMNERIS,"[1, 13, 14]"
AMON,"[13, 14]"
AMOR,"[1, 5, 6, 13, 14]"
AMORELA,"[13, 14]"
AMORIANA,"[13, 14]"
AMORINA,"[13, 14]"
AMORINO,"[13, 14]"
AMOS,"[1, 10, 11, 13, 14]"
AMOUK,[13]
AMPARO,"[1, 6, 10, 11, 13, 14]"
AMPELIO,"[1, 13, 14]"
AMPELO,"[13, 14]"
AMPLIADO,"[13, 14]"
AMUY,[13]
AMUYEN,"[13, 14]"
AMY,"[1, 2, 13, 14]"
ANA,"[1, 2, 6, 8, 10, 11, 13, 14]"
ANA DE LA PAZ,"[13, 14]"
ANA DE LAS ERMITAS,"[13, 14]"
ANABA,"[13, 14]"
ANABEL,"[1, 2, 6, 13, 14]"
ANABELA,"[1, 13, 14]"
ANABELIA,"[13, 14]"
ANABELLA,"[1, 13, 14]"
ANABELLE,"[1, 13]"
ANABY,[13]
ANABY DEL MAR,[13]
ANACARIO,"[13, 14]"
ANACARLA,"[13, 14]"
ANACELLI,"[13, 14]"
ANACLARA,"[1, 13, 14]"
ANACLETA,"[1, 11, 13, 14]"
ANACLETO,"[1, 6, 10, 11, 13, 14]"
ANACORA,[13]
ANACREOTE,[13]
ANADELIA,"[13, 14]"
ANADINA,"[13, 14]"
ANAEL,"[1, 13, 14]"
ANAHI,"[1, 10, 13, 14]"
ANAHID,"[1, 13, 14]"
ANAIS,"[1, 2, 4, 5, 6, 11, 13, 14]"
ANALI,"[1, 13, 14]"
ANALIA,"[1, 13, 14]"
ANALIS,"[1, 13, 14]"
ANALISA,"[13, 14]"
ANALIZ,"[13, 14]"
ANALUZ,"[13, 14]"
ANALY,"[1, 13, 14]"
ANAMA,"[13, 14]"
ANANDA,"[1, 13, 14]"
ANANELIA,"[13, 14]"
ANANIAS,"[1, 6, 10, 13, 14]"
ANANKE,"[13, 14]"
ANANQUEL,"[13, 14]"
ANARA,"[1, 13]"
ANARDA,"[13, 14]"
ANASTACIA,"[1, 13, 14]"
ANASTACIO,"[1, 13, 14]"
ANASTASIA,"[1, 2, 4, 5, 6, 10, 11, 13, 14]"
ANAT,"[13, 14]"
ANATALIA,"[1, 13, 14]"
ANATALON,"[13, 14]"
ANATILDE,"[13, 14]"
ANATOL,"[1, 13, 14]"
ANATOLE,"[13, 14]"
ANATOLIA,"[1, 11, 13, 14]"
ANATOLIO,"[1, 10, 11, 13, 14]"
ANAXAGORAS,"[13, 14]"
ANDANA,[13]
ANDE,"[13, 14]"
ANDEOLO,"[13, 14]"
ANDER,"[1, 2, 10, 12, 13, 14]"
ANDERS,"[1, 13, 14]"
ANDES,"[13, 14]"
ANDINA,"[12, 13, 14]"
ANDINO,"[13, 14]"
ANDONI,"[1, 10, 12, 13, 14]"
ANDOQUIO,"[13, 14]"
ANDRANIK,"[1, 13, 14]"
ANDRAS,"[1, 13, 14]"
ANDRE,"[1, 2, 11, 13, 14]"
ANDREA,"[1, 2, 4, 5, 6, 11, 13, 14]"
ANDREANA,"[13, 14]"
ANDREAS,"[1, 2, 10, 13, 14]"
ANDREI,"[1, 2, 10, 13, 14]"
ANDREINA,"[1, 13, 14]"
ANDRES,"[1, 2, 6, 8, 10, 13, 14]"
ANDRESA,"[1, 13, 14]"
ANDREUS,"[13, 14]"
ANDREW,"[1, 13, 14]"
ANDREY,"[1, 13, 14]"
ANDRIAN,"[1, 13, 14]"
ANDRIES,"[13, 14]"
ANDRINA,"[13, 14]"
ANDRO,"[1, 13, 14]"
ANDROCLES,"[13, 14]"
ANDROGEO,"[13, 14]"
ANDRONICO,"[10, 13, 14]"
ANDRY,"[1, 13, 14]"
ANDY,"[1, 2, 13, 14]"
ANECTO,"[13, 14]"
ANEIRIN,[13]
ANELE,"[13, 14]"
ANELEN,"[13, 14]"
ANELEY,"[1, 13, 14]"
ANELIDA,"[13, 14]"
ANELINA,"[13, 14]"
ANELISA,"[13, 14]"
ANELY,[13]
ANEMPODISTO,"[13, 14]"
ANESIO,"[1, 13, 14]"
ANFILOQUIO,"[13, 14]"
ANFION,"[13, 14]"
ANGEL,"[1, 2, 4, 5, 6, 7, 8, 10, 13, 14]"
ANGELA,"[1, 2, 4, 5, 6, 10, 13, 14]"
ANGELES,"[1, 6, 8, 10, 13, 14]"
ANGELIA,"[13, 14]"
ANGELICA,"[1, 2, 5, 6, 10, 13, 14]"
ANGELICO,"[1, 13, 14]"
ANGELINA,"[1, 2, 5, 6, 10, 13, 14]"
ANGELITA,"[1, 13, 6, 14]"
ANGELO,"[1, 2, 13, 14]"
ANGELUS,[13]
ANGIE,"[1, 2, 13, 14]"
ANGILBERTO,"[13, 14]"
ANGULO,"[13, 14]"
ANGUS,"[1, 10, 13, 14]"
ANGUSTIAS,"[1, 10, 11, 13, 14]"
ANIA,"[1, 2, 6, 13, 14]"
ANIAH,"[13, 14]"
ANIANO,"[1, 6, 11, 13, 14]"
ANIBAL,"[1, 2, 10, 13, 14]"
ANICA,"[1, 13, 14]"
ANICELLI,"[13, 14]"
ANICETA,"[1, 13, 14]"
ANICETO,"[1, 6, 10, 11, 13, 14]"
ANICIA,"[1, 13, 14]"
ANIELA,"[1, 13, 14]"
ANIELI,"[13, 14]"
ANIELLA,"[13, 14]"
ANIELLO,"[1, 13, 14]"
ANIKA,"[1, 13, 14]"
ANIL,"[1, 13, 14]"
ANINA,"[1, 13, 14]"
ANISA,"[1, 13, 14]"
ANISI,"[13, 14]"
ANISIA,"[1, 11, 13, 14]"
ANISIO,"[11, 13, 14]"
ANITA,"[1, 13, 14]"
ANKARI,[13]
ANKE,"[1, 13, 14]"
ANKER,"[13, 14]"
ANKINE,"[13, 14]"
ANN,"[1, 13, 14]"
ANNA,"[1, 2, 4, 5, 7, 13, 14]"
ANNABEL,"[1, 2, 5, 13, 14]"
ANNELISE,"[1, 13, 14]"
ANNERIS,"[13, 14]"
ANNETTE,"[1, 13, 14]"
ANNI,"[1, 13, 14]"
ANNIA,"[1, 2, 5, 13, 14]"
ANOEL,"[13, 14]"
ANOKI,"[13, 14]"
